turn,cardColor,cardType,quartile
1,RED,SELECTCOLOR,1
2,GREEN,Number,1
3,GREEN,STACKINGNumber,1
4,WILD,DRAW1,1
5,WILD,DRAW1,1
6,BLUE,Number,1
7,BLUE,SKIP,1
8,WILD,DRAW1,1
9,BLUE,Number,1
10,YELLOW,DRAW2,1
11,RED,STACKINGREVERSE,1
12,RED,Number,1
13,RED,Number,1
14,RED,Number,1
15,YELLOW,REVERSE,1
16,BLUE,Number,2
17,RED,DRAW4,2
18,RED,Number,2
19,WILD,DRAW1,2
20,RED,Number,2
21,WILD,DRAW1,2
22,WILD,DRAW1,2
23,GREEN,STACKINGNumber,2
24,WILD,DRAW1,2
25,WILD,DRAW1,2
26,YELLOW,Number,2
27,WILD,DRAW1,2
28,WILD,DRAW1,2
29,WILD,DRAW1,2
30,RED,Number,2
31,WILD,DRAW1,3
32,YELLOW,SKIP,3
33,GREEN,Number,3
34,GREEN,Number,3
35,GREEN,Number,3
36,WILD,DRAW1,3
37,RED,DRAW2,3
38,BLUE,Number,3
39,WILD,DRAW1,3
40,GREEN,STACKINGNumber,3
41,RED,Number,3
42,WILD,DRAW1,3
43,GREEN,STACKINGNumber,3
44,WILD,DRAW1,3
45,WILD,DRAW1,3
46,WILD,DRAW1,4
47,WILD,DRAW1,4
48,WILD,DRAW1,4
49,WILD,DRAW1,4
50,RED,Number,4
51,GREEN,STACKINGDRAW2,4
52,YELLOW,Number,4
53,RED,STACKINGREVERSE,4
54,YELLOW,Number,4
55,WILD,DRAW1,4
56,GREEN,DRAW4,4
57,GREEN,SKIP,4
58,YELLOW,SKIP,4
59,YELLOW,Number,4
60,BLUE,Number,4
61,BLUE,Number,4
1,BLUE,Number,1
2,GREEN,Number,1
3,BLUE,SELECTCOLOR,1
4,RED,DRAW4,1
5,RED,DRAW2,1
6,WILD,DRAW1,1
7,RED,SKIP,1
8,WILD,DRAW1,1
9,GREEN,Number,1
10,RED,Number,1
11,WILD,DRAW1,1
12,WILD,DRAW1,2
13,YELLOW,SELECTCOLOR,2
14,YELLOW,DRAW2,2
15,WILD,DRAW1,2
16,WILD,DRAW1,2
17,BLUE,STACKINGNumber,2
18,YELLOW,SKIP,2
19,WILD,DRAW1,2
20,WILD,DRAW1,2
21,GREEN,DRAW2,2
22,BLUE,Number,2
23,WILD,DRAW1,2
24,YELLOW,Number,3
25,RED,Number,3
26,WILD,DRAW1,3
27,WILD,DRAW1,3
28,WILD,DRAW1,3
29,RED,STACKINGNumber,3
30,WILD,DRAW1,3
31,WILD,DRAW1,3
32,GREEN,STACKINGNumber,3
33,YELLOW,Number,3
34,RED,STACKINGREVERSE,3
35,WILD,DRAW1,3
36,BLUE,Number,4
37,WILD,DRAW1,4
38,WILD,DRAW1,4
39,WILD,DRAW1,4
40,YELLOW,DRAW4,4
41,BLUE,SELECTCOLOR,4
42,BLUE,STACKINGNumber,4
43,YELLOW,SKIP,4
44,YELLOW,DRAW2,4
45,YELLOW,SKIP,4
46,YELLOW,Number,4
47,GREEN,STACKINGNumber,4
1,RED,Number,1
2,RED,Number,2
3,BLUE,STACKINGNumber,2
4,YELLOW,DRAW4,3
5,YELLOW,Number,4
6,BLUE,REVERSE,4
1,YELLOW,Number,1
2,GREEN,STACKINGNumber,2
3,WILD,DRAW1,2
4,WILD,DRAW1,3
5,GREEN,STACKINGNumber,3
6,BLUE,STACKINGNumber,4
7,BLUE,STACKINGNumber,4
1,GREEN,Number,1
2,GREEN,STACKINGNumber,2
3,RED,Number,2
4,RED,Number,3
5,YELLOW,DRAW4,3
6,WILD,DRAW1,4
7,BLUE,STACKINGNumber,4
1,YELLOW,Number,1
2,BLUE,Number,1
3,GREEN,STACKINGNumber,1
4,RED,DRAW2,1
5,WILD,DRAW1,1
6,GREEN,STACKINGREVERSE,2
7,RED,Number,2
8,WILD,DRAW1,2
9,RED,Number,2
10,WILD,DRAW1,2
11,BLUE,STACKINGNumber,2
12,WILD,DRAW1,3
13,BLUE,Number,3
14,WILD,DRAW1,3
15,WILD,DRAW1,3
16,WILD,DRAW1,3
17,GREEN,Number,4
18,BLUE,STACKINGDRAW2,4
19,WILD,DRAW1,4
20,BLUE,SKIP,4
21,WILD,DRAW1,4
22,RED,STACKINGNumber,4
1,GREEN,Number,1
2,RED,STACKINGNumber,1
3,WILD,DRAW1,1
4,BLUE,STACKINGNumber,1
5,RED,Number,1
6,WILD,DRAW1,1
7,BLUE,STACKINGSKIP,1
8,YELLOW,Number,1
9,BLUE,Number,1
10,YELLOW,REVERSE,1
11,WILD,DRAW1,1
12,GREEN,REVERSE,1
13,WILD,DRAW1,1
14,BLUE,DRAW2,2
15,BLUE,Number,2
16,WILD,DRAW1,2
17,BLUE,Number,2
18,WILD,DRAW1,2
19,BLUE,SKIP,2
20,WILD,DRAW1,2
21,WILD,DRAW1,2
22,WILD,DRAW1,2
23,RED,SKIP,2
24,RED,Number,2
25,YELLOW,Number,2
26,WILD,DRAW1,2
27,GREEN,Number,3
28,RED,Number,3
29,GREEN,STACKINGNumber,3
30,WILD,DRAW1,3
31,WILD,DRAW1,3
32,RED,Number,3
33,WILD,DRAW1,3
34,RED,STACKINGNumber,3
35,WILD,DRAW1,3
36,WILD,DRAW1,3
37,GREEN,STACKINGNumber,3
38,YELLOW,Number,3
39,WILD,DRAW1,3
40,WILD,DRAW1,4
41,WILD,DRAW1,4
42,WILD,DRAW1,4
43,RED,SKIP,4
44,RED,Number,4
45,GREEN,DRAW2,4
46,GREEN,Number,4
47,WILD,DRAW1,4
48,BLUE,Number,4
49,BLUE,STACKINGNumber,4
50,YELLOW,Number,4
51,GREEN,SELECTCOLOR,4
52,GREEN,Number,4
1,RED,Number,1
2,BLUE,STACKINGNumber,1
3,WILD,DRAW1,2
4,BLUE,STACKINGNumber,2
5,GREEN,DRAW4,3
6,GREEN,Number,3
7,BLUE,Number,4
8,BLUE,SKIP,4
9,BLUE,STACKINGDRAW2,4
1,BLUE,STACKINGNumber,1
2,BLUE,STACKINGDRAW2,2
3,GREEN,Number,3
4,GREEN,DRAW4,4
1,GREEN,STACKINGNumber,1
2,RED,SELECTCOLOR,1
3,RED,Number,1
4,BLUE,SELECTCOLOR,1
5,RED,Number,1
6,WILD,DRAW1,1
7,GREEN,SELECTCOLOR,1
8,GREEN,STACKINGNumber,1
9,BLUE,STACKINGNumber,1
10,GREEN,REVERSE,2
11,BLUE,STACKINGNumber,2
12,GREEN,Number,2
13,YELLOW,Number,2
14,RED,Number,2
15,WILD,DRAW1,2
16,WILD,DRAW1,2
17,YELLOW,Number,2
18,GREEN,Number,2
19,WILD,DRAW1,3
20,WILD,DRAW1,3
21,WILD,DRAW1,3
22,WILD,DRAW1,3
23,BLUE,STACKINGDRAW2,3
24,BLUE,STACKINGNumber,3
25,BLUE,Number,3
26,BLUE,STACKINGNumber,3
27,WILD,DRAW1,3
28,YELLOW,Number,4
29,WILD,DRAW1,4
30,YELLOW,Number,4
31,GREEN,Number,4
32,WILD,DRAW1,4
33,BLUE,Number,4
34,BLUE,Number,4
35,BLUE,Number,4
36,GREEN,STACKINGNumber,4
37,RED,STACKINGNumber,4
